"ProcedureName","Domain","DetectedPattern","RecommendedStrategy","Confidence","ProcedureType","InsertCount","UpdateCount","DeleteCount","TotalDMLOps","HasTransactionHandling","HasValidation","Rationale"
"inv_inventory_Add_Item","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Create","4","2","0","6","Yes","Yes","[SEQUENTIAL] | [4 INSERTs] + [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Fix_BatchNumbers","Inventory","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Maintenance","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Get_ByPartID","Inventory","QUERY","NONE (Read-only)","High","Read","0","0","0","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByPartIDandOperation","Inventory","QUERY","NONE (Read-only)","High","Read","0","0","0","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByUser","Inventory","QUERY","NONE (Read-only)","High","Read","0","0","0","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Remove_Item","Inventory","MIXED_DML","EXPLICIT (Already implemented)","High","Delete","1","0","2","3","Yes","Yes","[MIXED_DML] | [1 INSERT] + [2 DELETEs] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Search_Advanced","Inventory","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Part","Inventory","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Transfer","0","1","0","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Quantity","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Transfer","1","1","0","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT] + [1 UPDATE] | [Has explicit transaction handling] | [Has validation]"
"inv_transaction_Add","Transactions","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_GetAnalytics","Transactions","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_SmartSearch","Transactions","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_changelog_Get_Current","Logging","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Add_Error","Logging","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_All","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_ById","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
