ProcedureName,Domain,DetectedPattern,RecommendedStrategy,Confidence,ProcedureType,InsertCount,UpdateCount,DeleteCount,TotalDMLOps,HasTransactionHandling,HasValidation,Rationale,DeveloperCorrection,Notes
inv_inventory_Add_Item,inventory,MULTI_STEP_SEQUENTIAL,StandardTransaction,90,MIXED,2,1,0,3,True,True,[SEQUENTIAL] [QUERY+MODIFY] | [INSERT] INTO [inv_inventory] → [INSERT] INTO [inv_transaction] → [UPDATE] TABLE [inv_inventory_batch_seq],Corrected via Invoke-T106Review on 2025-10-17 21:50:21,
inv_inventory_Fix_BatchNumbers,inventory,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,0,2,0,2,True,False,[SEQUENTIAL] [QUERY+MODIFY] | [UPDATE] TABLE [inv_inventory] → [UPDATE] TABLE [inv_inventory_batch_seq],Corrected via Invoke-T106Review on 2025-10-17 21:50:47,
inv_inventory_Get_ByPartID,inventory,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,False,True,[READ-ONLY] [QUERY] | No data modifications,,
inv_inventory_Get_ByPartIDandOperation,inventory,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,False,True,[READ-ONLY] [QUERY] | No data modifications,,
inv_inventory_Get_ByUser,inventory,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,False,False,[READ-ONLY] [QUERY] | No data modifications,Corrected via Invoke-T106Review on 2025-10-17 21:51:08,
inv_inventory_Remove_Item,inventory,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,MIXED,1,0,2,3,True,False,[CONDITIONAL] [QUERY+MODIFY] | [INSERT] INTO [inv_transaction] → [DELETE] FROM [inv_inventory] → [DELETE] FROM [inv_inventory],Corrected via Invoke-T106Review on 2025-10-17 21:51:35,
inv_inventory_Search_Advanced,inventory,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,Corrected via Invoke-T106Review on 2025-10-17 21:52:00,
inv_inventory_Transfer_Part,inventory,SINGLE_STEP,StandardTransaction,90,MIXED,0,1,0,1,True,True,[1-STEP] [QUERY+MODIFY] | [UPDATE] TABLE [inv_inventory],,
inv_inventory_Transfer_Quantity,inventory,MULTI_STEP_CONDITIONAL,ComplexTransaction,90,DML_ONLY,1,1,0,2,True,True,[SEQUENTIAL] [MODIFY] | [INSERT] INTO [inv_inventory] → [UPDATE] TABLE [inv_inventory],Corrected via Invoke-T106Review on 2025-10-17 21:52:27,
inv_transaction_Add,inventory,SINGLE_STEP,StandardTransaction,90,DML_ONLY,1,0,0,1,True,True,[1-STEP] [MODIFY] | [INSERT] INTO [inv_transaction],,
inv_transactions_GetAnalytics,inventory,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,Corrected via Invoke-T106Review on 2025-10-17 21:52:58,
inv_transactions_SmartSearch,inventory,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
log_changelog_Get_Current,logging,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,Corrected via Invoke-T106Review on 2025-10-17 21:53:21,
log_error_Add_Error,logging,SINGLE_STEP,StandardTransaction,90,DML_ONLY,1,0,0,1,True,True,[1-STEP] [MODIFY] | [INSERT] x1,,
log_error_Delete_All,logging,SINGLE_STEP,StandardTransaction,90,MIXED,0,0,1,1,True,False,[1-STEP] [QUERY+MODIFY] | [DELETE] x1,,
log_error_Delete_ById,logging,SINGLE_STEP,StandardTransaction,90,MIXED,0,0,1,1,True,True,[1-STEP] [QUERY+MODIFY] | [DELETE] x1,,
log_error_Get_All,logging,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
log_error_Get_ByDateRange,logging,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
log_error_Get_ByUser,logging,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,True,[READ-ONLY] [QUERY] | No data modifications,,
log_error_Get_Unique,logging,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
md_item_types_Add_ItemType,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,1,0,0,1,True,True,[1-STEP] [MODIFY] | [INSERT] x1,,
md_item_types_Delete_ByID,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,0,1,1,True,True,[1-STEP] [MODIFY] | [DELETE] x1,,
md_item_types_Delete_ByType,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,0,1,1,True,True,[1-STEP] [MODIFY] | [DELETE] x1,,
md_item_types_Get_All,master-data,READ_ONLY,StandardQuery,95,SELECT_ONLY,0,0,0,0,True,False,[READ-ONLY] [QUERY] | No data modifications,,
md_item_types_Update_ItemType,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,0,1,0,1,True,True,[1-STEP] [MODIFY] | [UPDATE] x1,,
md_locations_Add_Location,master-data,SINGLE_STEP,StandardTransaction,90,DML_ONLY,1,0,0,1,True,True,[1-STEP] [MODIFY] | [INSERT] x1,,
