SPECIFIC_NAME	PARAMETER_NAME	PARAMETER_MODE	DATA_TYPE
inv_inventory_Add_Item	p_PartID	IN	varchar
inv_inventory_Add_Item	p_Location	IN	varchar
inv_inventory_Add_Item	p_Operation	IN	varchar
inv_inventory_Add_Item	p_Quantity	IN	int
inv_inventory_Add_Item	p_ItemType	IN	varchar
inv_inventory_Add_Item	p_User	IN	varchar
inv_inventory_Add_Item	p_Notes	IN	varchar
inv_inventory_Fix_BatchNumbers	p_Status	OUT	int
inv_inventory_Fix_BatchNumbers	p_ErrorMsg	OUT	varchar
inv_inventory_Get_ByPartID	p_PartID	IN	varchar
inv_inventory_Get_ByPartIDandOperation	p_PartID	IN	varchar
inv_inventory_Get_ByPartIDandOperation	o_Operation	IN	varchar
inv_inventory_Get_ByUser	p_User	IN	varchar
inv_inventory_Remove_Item	p_PartID	IN	varchar
inv_inventory_Remove_Item	p_Location	IN	varchar
inv_inventory_Remove_Item	p_Operation	IN	varchar
inv_inventory_Remove_Item	p_Quantity	IN	int
inv_inventory_Remove_Item	p_ItemType	IN	varchar
inv_inventory_Remove_Item	p_User	IN	varchar
inv_inventory_Remove_Item	p_BatchNumber	IN	varchar
inv_inventory_Remove_Item	p_Notes	IN	varchar
inv_inventory_Remove_Item	p_Status	OUT	int
inv_inventory_Remove_Item	p_ErrorMsg	OUT	varchar
inv_inventory_Remove_Item_1_1	p_PartID	IN	varchar
inv_inventory_Remove_Item_1_1	p_Location	IN	varchar
inv_inventory_Remove_Item_1_1	p_Operation	IN	varchar
inv_inventory_Remove_Item_1_1	p_Quantity	IN	int
inv_inventory_Remove_Item_1_1	p_ItemType	IN	varchar
inv_inventory_Remove_Item_1_1	p_User	IN	varchar
inv_inventory_Remove_Item_1_1	p_BatchNumber	IN	varchar
inv_inventory_Remove_Item_1_1	p_Notes	IN	varchar
inv_inventory_Remove_Item_1_1	p_Status	OUT	int
inv_inventory_Remove_Item_1_1	p_ErrorMsg	OUT	varchar
inv_inventory_Transfer_Part	in_BatchNumber	IN	varchar
inv_inventory_Transfer_Part	in_PartID	IN	varchar
inv_inventory_Transfer_Part	in_Operation	IN	varchar
inv_inventory_Transfer_Part	in_NewLocation	IN	varchar
inv_inventory_Transfer_Quantity	in_BatchNumber	IN	varchar
inv_inventory_Transfer_Quantity	in_PartID	IN	varchar
inv_inventory_Transfer_Quantity	in_Operation	IN	varchar
inv_inventory_Transfer_Quantity	in_TransferQuantity	IN	int
inv_inventory_Transfer_Quantity	in_OriginalQuantity	IN	int
inv_inventory_Transfer_Quantity	in_NewLocation	IN	varchar
inv_inventory_Transfer_Quantity	in_User	IN	varchar
inv_transaction_Add	in_TransactionType	IN	enum
inv_transaction_Add	in_PartID	IN	varchar
inv_transaction_Add	in_BatchNumber	IN	varchar
inv_transaction_Add	in_FromLocation	IN	varchar
inv_transaction_Add	in_ToLocation	IN	varchar
inv_transaction_Add	in_Operation	IN	varchar
inv_transaction_Add	in_Quantity	IN	int
inv_transaction_Add	in_Notes	IN	varchar
inv_transaction_Add	in_User	IN	varchar
inv_transaction_Add	in_ItemType	IN	varchar
inv_transaction_Add	in_ReceiveDate	IN	datetime
log_error_Add_Error	p_User	IN	varchar
log_error_Add_Error	p_Severity	IN	varchar
log_error_Add_Error	p_ErrorType	IN	varchar
log_error_Add_Error	p_ErrorMessage	IN	text
log_error_Add_Error	p_StackTrace	IN	text
log_error_Add_Error	p_ModuleName	IN	varchar
log_error_Add_Error	p_MethodName	IN	varchar
log_error_Add_Error	p_AdditionalInfo	IN	text
log_error_Add_Error	p_MachineName	IN	varchar
log_error_Add_Error	p_OSVersion	IN	varchar
log_error_Add_Error	p_AppVersion	IN	varchar
log_error_Add_Error	p_ErrorTime	IN	datetime
log_error_Add_Error	p_Status	OUT	int
log_error_Add_Error	p_ErrorMsg	OUT	varchar
log_error_Delete_All	p_Status	OUT	int
log_error_Delete_All	p_ErrorMsg	OUT	varchar
log_error_Delete_ById	p_Id	IN	int
log_error_Delete_ById	p_Status	OUT	int
log_error_Delete_ById	p_ErrorMsg	OUT	varchar
log_error_Get_All	p_Status	OUT	int
log_error_Get_All	p_ErrorMsg	OUT	varchar
log_error_Get_ByDateRange	p_StartDate	IN	datetime
log_error_Get_ByDateRange	p_EndDate	IN	datetime
log_error_Get_ByDateRange	p_Status	OUT	int
log_error_Get_ByDateRange	p_ErrorMsg	OUT	varchar
log_error_Get_ByUser	p_User	IN	varchar
log_error_Get_ByUser	p_Status	OUT	int
log_error_Get_ByUser	p_ErrorMsg	OUT	varchar
log_error_Get_Unique	p_Status	OUT	int
log_error_Get_Unique	p_ErrorMsg	OUT	varchar
maint_reload_part_ids_and_operation_numbers	p_Status	OUT	int
maint_reload_part_ids_and_operation_numbers	p_ErrorMsg	OUT	varchar
md_item_types_Add_ItemType	p_ItemType	IN	varchar
md_item_types_Add_ItemType	p_IssuedBy	IN	varchar
md_item_types_Delete_ByID	p_ID	IN	int
md_item_types_Delete_ByType	p_ItemType	IN	varchar
md_item_types_Update_ItemType	p_ID	IN	int
md_item_types_Update_ItemType	p_ItemType	IN	varchar
md_item_types_Update_ItemType	p_IssuedBy	IN	varchar
md_locations_Add_Location	p_Location	IN	varchar
md_locations_Add_Location	p_IssuedBy	IN	varchar
md_locations_Add_Location	p_Building	IN	varchar
md_locations_Delete_ByLocation	p_Location	IN	varchar
md_locations_Update_Location	p_OldLocation	IN	varchar
md_locations_Update_Location	p_Location	IN	varchar
md_locations_Update_Location	p_IssuedBy	IN	varchar
md_locations_Update_Location	p_Building	IN	varchar
md_operation_numbers_Add_Operation	p_Operation	IN	varchar
md_operation_numbers_Add_Operation	p_IssuedBy	IN	varchar
md_operation_numbers_Delete_ByOperation	p_Operation	IN	varchar
md_operation_numbers_Update_Operation	p_Operation	IN	varchar
md_operation_numbers_Update_Operation	p_NewOperation	IN	varchar
md_operation_numbers_Update_Operation	p_IssuedBy	IN	varchar
md_part_ids_Add_Part	p_ItemNumber	IN	varchar
md_part_ids_Add_Part	p_Customer	IN	varchar
md_part_ids_Add_Part	p_Description	IN	varchar
md_part_ids_Add_Part	p_IssuedBy	IN	varchar
md_part_ids_Add_Part	p_ItemType	IN	varchar
md_part_ids_Delete_ByItemNumber	p_ItemNumber	IN	varchar
md_part_ids_Get_ByItemNumber	p_ItemNumber	IN	varchar
md_part_ids_Update_Part	p_ID	IN	int
md_part_ids_Update_Part	p_ItemNumber	IN	varchar
md_part_ids_Update_Part	p_Customer	IN	varchar
md_part_ids_Update_Part	p_Description	IN	varchar
md_part_ids_Update_Part	p_IssuedBy	IN	varchar
md_part_ids_Update_Part	p_ItemType	IN	varchar
sys_last_10_transactions_AddQuickButton_1	p_User	IN	varchar
sys_last_10_transactions_AddQuickButton_1	p_PartID	IN	varchar
sys_last_10_transactions_AddQuickButton_1	p_Operation	IN	varchar
sys_last_10_transactions_AddQuickButton_1	p_Quantity	IN	int
sys_last_10_transactions_AddQuickButton_1	p_Position	IN	int
sys_last_10_transactions_Get_ByUser	p_User	IN	varchar
sys_last_10_transactions_Get_ByUser_1	p_User	IN	varchar
sys_last_10_transactions_MoveToLast_ByUser	p_User	IN	varchar
sys_last_10_transactions_MoveToLast_ByUser	p_ReceiveDate	IN	datetime
sys_last_10_transactions_Move_1	p_User	IN	varchar
sys_last_10_transactions_Move_1	p_FromPosition	IN	int
sys_last_10_transactions_Move_1	p_ToPosition	IN	int
sys_last_10_transactions_RemoveAndShift_ByUser	p_User	IN	varchar
sys_last_10_transactions_RemoveAndShift_ByUser	p_ReceiveDate	IN	datetime
sys_last_10_transactions_RemoveAndShift_ByUser_1	p_User	IN	varchar
sys_last_10_transactions_RemoveAndShift_ByUser_1	p_Position	IN	int
sys_last_10_transactions_Reorder_ByUser	p_User	IN	varchar
sys_last_10_transactions_Reorder_ByUser	p_SrcReceiveDate	IN	datetime
sys_last_10_transactions_Reorder_ByUser	p_TargetIndex	IN	int
sys_last_10_transactions_SwapPositions_ByUser	p_User	IN	varchar
sys_last_10_transactions_SwapPositions_ByUser	p_ReceiveDate1	IN	datetime
sys_last_10_transactions_SwapPositions_ByUser	p_ReceiveDate2	IN	datetime
sys_last_10_transactions_Update_ByUserAndDate	p_User	IN	varchar
sys_last_10_transactions_Update_ByUserAndDate	p_OldReceiveDate	IN	datetime
sys_last_10_transactions_Update_ByUserAndDate	p_PartID	IN	varchar
sys_last_10_transactions_Update_ByUserAndDate	p_Operation	IN	varchar
sys_last_10_transactions_Update_ByUserAndDate	p_Quantity	IN	int
sys_last_10_transactions_Update_ByUserAndPosition_1	p_User	IN	varchar
