Processes	ID	User	Host	Database	Command	Time	Status	SQL query
Kill	2612	root	172.20.8.116:63197	mtm_wip_application_winforms	Sleep	22	---	---
Kill	2613	root	172.20.8.116:63199	mtm_wip_application_winforms	Sleep	27	---	---
Kill	2614	root	172.20.8.116:63200	mtm_wip_application_winforms	Sleep	7	---	---
Kill	2615	root	172.20.8.116:63202	mtm_wip_application_winforms	Sleep	12	---	---
Kill	2616	root	172.20.8.116:63203	mtm_wip_application_winforms	Sleep	17	---	---
Kill	2617	root	172.20.8.116:63204	mtm_wip_application_winforms	Sleep	42	---	---
Kill	2618	root	172.20.8.116:63205	mtm_wip_application_winforms	Sleep	32	---	---
Kill	2619	root	172.20.8.116:63206	mtm_wip_application_winforms	Sleep	47	---	---
Kill	2620	root	172.20.8.116:63207	mtm_wip_application_winforms	Sleep	2	---	---
Kill	2621	root	172.20.8.116:63208	mtm_wip_application_winforms	Sleep	37	---	---
Kill	2622	root	172.20.8.116:63209	mtm_wip_application_winforms	Sleep	19	---	---
Kill	2808	root	172.18.0.215:59885	mtm_wip_application_winforms	Sleep	29	---	---
Kill	2809	root	172.18.0.215:59886	mtm_wip_application_winforms	Sleep	3	---	---
Kill	2810	root	172.18.0.215:59887	mtm_wip_application_winforms	Sleep	19	---	---
Kill	2811	root	172.18.0.215:59888	mtm_wip_application_winforms	Sleep	8	---	---
Kill	2812	root	172.18.0.215:59889	mtm_wip_application_winforms	Sleep	2	---	---
Kill	2814	root	172.18.0.215:59891	mtm_wip_application_winforms	Sleep	44	---	---
Kill	2815	root	172.18.0.215:59892	mtm_wip_application_winforms	Sleep	34	---	---
Kill	2816	root	172.18.0.215:59893	mtm_wip_application_winforms	Sleep	13	---	---
Kill	2817	root	172.18.0.215:59894	mtm_wip_application_winforms	Sleep	24	---	---
Kill	2820	root	172.18.0.202:64372	mtm_wip_application_winforms	Sleep	44	---	---
Kill	2821	root	172.18.0.202:64373	mtm_wip_application_winforms	Sleep	17	---	---
Kill	2822	root	172.18.0.202:50637	mtm_wip_application_winforms	Sleep	37	---	---
Kill	2823	root	172.18.0.202:50638	mtm_wip_application_winforms	Sleep	42	---	---
Kill	2824	root	172.18.0.202:50639	mtm_wip_application_winforms	Sleep	22	---	---
Kill	2825	root	172.18.0.202:50640	mtm_wip_application_winforms	Sleep	12	---	---
Kill	2826	root	172.18.0.202:50641	mtm_wip_application_winforms	Sleep	14	---	---
Kill	2827	root	172.18.0.202:50642	mtm_wip_application_winforms	Sleep	27	---	---
Kill	2828	root	172.18.0.202:50643	mtm_wip_application_winforms	Sleep	7	---	---
Kill	2829	root	172.18.0.202:50644	mtm_wip_application_winforms	Sleep	2	---	---
Kill	2830	root	172.18.0.202:50645	mtm_wip_application_winforms	Sleep	32	---	---
Kill	2831	root	172.20.8.49:51225	mtm_wip_application_winforms	Sleep	42	---	---
Kill	2832	root	172.20.8.49:51226	mtm_wip_application_winforms	Sleep	37	---	---
Kill	2833	root	172.20.8.49:51227	mtm_wip_application_winforms	Sleep	12	---	---
Kill	2834	root	172.20.8.49:51229	mtm_wip_application_winforms	Sleep	17	---	---
Kill	2835	root	172.20.8.49:51228	mtm_wip_application_winforms	Sleep	38	---	---
Kill	2836	root	172.20.8.49:51230	mtm_wip_application_winforms	Sleep	8	---	---
Kill	2837	root	172.20.8.49:51231	mtm_wip_application_winforms	Sleep	7	---	---
Kill	2838	root	172.20.8.49:51232	mtm_wip_application_winforms	Sleep	27	---	---
Kill	2839	root	172.20.8.49:51233	mtm_wip_application_winforms	Sleep	32	---	---
Kill	2840	root	172.20.8.49:51234	mtm_wip_application_winforms	Sleep	22	---	---
Kill	2841	root	172.20.8.49:51235	mtm_wip_application_winforms	Sleep	2	---	---
Kill	2853	root	172.20.8.35:51868	mtm_wip_application_winforms	Sleep	44	---	---
Kill	2854	root	172.20.8.35:51869	mtm_wip_application_winforms	Sleep	29	---	---
Kill	2855	root	172.20.8.35:51870	mtm_wip_application_winforms	Sleep	9	---	---
Kill	2857	root	172.20.8.35:51871	mtm_wip_application_winforms	Sleep	14	---	---
Kill	2858	root	172.20.8.35:51872	mtm_wip_application_winforms	Sleep	34	---	---
