"ProcedureName","Domain","DetectedPattern","RecommendedStrategy","Confidence","ProcedureType","InsertCount","InsertTables","UpdateCount","UpdateTables","DeleteCount","DeleteTables","TotalDMLOps","HasTransactionHandling","HasValidation","Rationale"
"inv_inventory_Add_Item","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Create","2","inv_inventory(1), inv_transaction(1)","1","inv_inventory_batch_seq(1)","0","","3","Yes","Yes","[SEQUENTIAL] | [2 INSERTs: inv_inventory(1), inv_transaction(1)] + [1 UPDATE: inv_inventory_batch_seq(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Fix_BatchNumbers","Inventory","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Maintenance","0","","2","inv_inventory(1), inv_inventory_batch_seq(1)","0","","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs: inv_inventory(1), inv_inventory_batch_seq(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Get_ByPartID","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByPartIDandOperation","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByUser","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Remove_Item","Inventory","MIXED_DML","EXPLICIT (Already implemented)","High","Delete","1","inv_transaction(1)","0","","2","inv_inventory(2)","3","Yes","Yes","[MIXED_DML] | [1 INSERT: inv_transaction(1)] + [2 DELETEs: inv_inventory(2)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Search_Advanced","Inventory","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Part","Inventory","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Transfer","0","","1","inv_inventory(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: inv_inventory(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Quantity","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Transfer","1","inv_inventory(1)","1","inv_inventory(1)","0","","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT: inv_inventory(1)] + [1 UPDATE: inv_inventory(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_transaction_Add","Transactions","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","inv_transaction(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: inv_transaction(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_GetAnalytics","Transactions","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_SmartSearch","Transactions","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_changelog_Get_Current","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Add_Error","Logging","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","log_error(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: log_error(1)] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_All","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","log_error(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: log_error(1)] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_ById","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","log_error(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: log_error(1)] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_All","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_ByDateRange","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
