"ProcedureName","Domain","DetectedPattern","RecommendedStrategy","Confidence","ProcedureType","InsertCount","InsertTables","UpdateCount","UpdateTables","DeleteCount","DeleteTables","TotalDMLOps","HasTransactionHandling","HasValidation","Rationale","SQLOperationsDetail","CallHierarchy","DeveloperCorrection","Notes","NeedsAttention"
"inv_inventory_Add_Item","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Create","2","inv_inventory(1), inv_transaction(1)","1","inv_inventory_batch_seq(1)","0","","3","Yes","Yes","[SEQUENTIAL] | [2 INSERTs: inv_inventory(1), inv_transaction(1)] + [1 UPDATE: inv_inventory_batch_seq(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_inventory_Add_Item"",""TotalOperations"":3,""Operations"":[{""Index"":1,""Type"":""INSERT"",""Table"":""inv_inventory"",""Columns"":[""PartID"",""Location"",""Operation"",""Quantity"",""ItemType"",""User"",""BatchNumber"",""Notes""],""Values"":[""p_PartID"",""p_Location"",""p_Operation"",""p_Quantity"",""p_ItemType"",""p_User"",""batchStr"",""p_Notes""],""ColumnValuePairs"":[""PartID = p_PartID"",""Location = p_Location"",""Operation = p_Operation"",""Quantity = p_Quantity"",""ItemType = p_ItemType"",""User = p_User"",""BatchNumber = batchStr"",""Notes = p_Notes""],""RawSQL"":""INSERT INTO inv_inventory\n            (PartID, Location, Operation, Quantity, ItemType, User, BatchNumber, Notes)\n        VALUES\n            (p_PartID, p_Location, p_Operation, p_Quantity, p_ItemType, p_User, batchStr, p_Notes)""},{""Index"":2,""Type"":""INSERT"",""Table"":""inv_transaction"",""Columns"":[""TransactionType"",""BatchNumber"",""PartID"",""FromLocation"",""ToLocation"",""Operation"",""Quantity"",""Notes"",""User"",""ItemType""],""Values"":[""'IN'"",""batchStr"",""p_PartID"",""p_Location"",""NULL"",""p_Operation"",""p_Quantity"",""p_Notes"",""p_User"",""p_ItemType""],""ColumnValuePairs"":[""TransactionType = 'IN'"",""BatchNumber = batchStr"",""PartID = p_PartID"",""FromLocation = p_Location"",""ToLocation = NULL"",""Operation = p_Operation"",""Quantity = p_Quantity"",""Notes = p_Notes"",""User = p_User"",""ItemType = p_ItemType""],""RawSQL"":""INSERT INTO inv_transaction\n            (\n                TransactionType,\n                BatchNumber,\n                PartID,\n                FromLocation,\n                ToLocation,\n                Operation,\n                Quantity,\n                Notes,\n                User,\n                ItemType\n            )\n        VALUES\n            (\n                'IN',\n                batchStr,\n                p_PartID,\n                p_Location,\n                NULL,\n                p_Operation,\n                p_Quantity,\n                p_Notes,\n                p_User,\n                p_ItemType\n            )""},{""Index"":3,""Type"":""UPDATE"",""Table"":""inv_inventory_batch_seq"",""SetClauses"":""last_batch_number = nextBatch"",""WhereConditions"":null,""HasWhere"":false,""RawSQL"":""UPDATE inv_inventory_batch_seq SET last_batch_number = nextBatch""}]}","{""Status"":""Called from UI"",""EventHandler"":""DependencyChartViewerForm.cs.listHtmlFiles_SelectedIndexChanged"",""MethodChain"":[""if""],""DAO"":{""Method"":""AddInventoryItemAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Add_Item"",""Tables"":[""inv_inventory_batch_seq"",""inv_inventory"",""inv_transaction""],""ReturnType"":""Task<DaoResult<int>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"inv_inventory_Fix_BatchNumbers","Inventory","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Maintenance","0","","2","inv_inventory(1), inv_inventory_batch_seq(1)","0","","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs: inv_inventory(1), inv_inventory_batch_seq(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_inventory_Fix_BatchNumbers"",""TotalOperations"":2,""Operations"":[{""Index"":1,""Type"":""UPDATE"",""Table"":""inv_inventory"",""SetClauses"":[""BatchNumber = LPAD(nextBatch"",""10"",""'0')""],""WhereConditions"":""ID = null_id"",""HasWhere"":true,""RawSQL"":""UPDATE inv_inventory SET BatchNumber = LPAD(nextBatch, 10, '0') WHERE ID = null_id""},{""Index"":2,""Type"":""UPDATE"",""Table"":""inv_inventory_batch_seq"",""SetClauses"":""last_batch_number = nextBatch"",""WhereConditions"":null,""HasWhere"":false,""RawSQL"":""UPDATE inv_inventory_batch_seq SET last_batch_number = nextBatch""}]}","{""Status"":""Called from DAO (no UI event handler traced)"",""DAO"":{""Method"":""FixBatchNumbersAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Fix_BatchNumbers"",""Tables"":[""inv_inventory"",""inv_inventory_batch_seq""],""ReturnType"":""Task<DaoResult>""}","","","False"
"inv_inventory_Get_ByPartID","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]","{""ProcedureName"":""inv_inventory_Get_ByPartID"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from UI"",""EventHandler"":""MainForm.cs.MainForm_MenuStrip_View_PersonalHistory_Click"",""MethodChain"":[""new""],""DAO"":{""Method"":""GetInventoryByPartIdAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Get_ByPartID"",""Tables"":""inv_inventory"",""ReturnType"":""Task<DaoResult<DataTable>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"inv_inventory_Get_ByPartIDandOperation","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]","{""ProcedureName"":""inv_inventory_Get_ByPartIDandOperation"",""TotalOperations"":0,""Operations"":[]}","[{""Status"":""Called from UI"",""EventHandler"":""MainForm.cs.MainForm_MenuStrip_View_PersonalHistory_Click"",""MethodChain"":[""new""],""DAO"":{""Method"":""GetInventoryByPartIdAndOperationAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Get_ByPartIDandOperation"",""Tables"":""inv_inventory"",""ReturnType"":""Task<DaoResult<DataTable>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}},{""Status"":""Called from UI"",""EventHandler"":""MainForm.cs.MainForm_MenuStrip_View_PersonalHistory_Click"",""MethodChain"":[""new""],""DAO"":{""Method"":""GetInventoryByPartIdAndOperationAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Get_ByPartIDandOperation"",""Tables"":""inv_inventory"",""ReturnType"":""Task<DaoResult<DataTable>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}]","","","False"
"inv_inventory_Get_ByUser","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]","{""ProcedureName"":""inv_inventory_Get_ByUser"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from UI"",""EventHandler"":""Model_DaoResult.cs.btnDelete_Click"",""MethodChain"":[],""DAO"":{""Method"":""GetAllInventoryAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Get_ByUser"",""Tables"":""inv_inventory"",""ReturnType"":""Task<DaoResult<DataTable>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"inv_inventory_Remove_Item","Inventory","MIXED_DML","EXPLICIT (Already implemented)","High","Delete","1","inv_transaction(1)","0","","2","inv_inventory(2)","3","Yes","Yes","[MIXED_DML] | [1 INSERT: inv_transaction(1)] + [2 DELETEs: inv_inventory(2)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_inventory_Remove_Item"",""TotalOperations"":3,""Operations"":[{""Index"":1,""Type"":""INSERT"",""Table"":""inv_transaction"",""Columns"":[""TransactionType"",""PartID"",""FromLocation"",""Operation"",""Quantity"",""ItemType"",""User"",""BatchNumber"",""Notes"",""ReceiveDate""],""Values"":[""'OUT'"",""p_PartID"",""p_Location"",""p_Operation"",""p_Quantity"",""p_ItemType"",""p_User"",""p_BatchNumber"",""p_Notes"",""NOW(""],""ColumnValuePairs"":[""TransactionType = 'OUT'"",""PartID = p_PartID"",""FromLocation = p_Location"",""Operation = p_Operation"",""Quantity = p_Quantity"",""ItemType = p_ItemType"",""User = p_User"",""BatchNumber = p_BatchNumber"",""Notes = p_Notes"",""ReceiveDate = NOW(""],""RawSQL"":""INSERT INTO inv_transaction (TransactionType, PartID, FromLocation, Operation, Quantity, ItemType, User, BatchNumber, Notes, ReceiveDate)\n                VALUES ('OUT', p_PartID, p_Location, p_Operation, p_Quantity, p_ItemType, p_User, p_BatchNumber, p_Notes, NOW()""},{""Index"":2,""Type"":""DELETE"",""Table"":""inv_inventory"",""WhereConditions"":[""PartID = p_PartID"",""Location = p_Location"",""Operation = p_Operation"",""Quantity = p_Quantity"",""(p_BatchNumber IS NULL"",""p_BatchNumber = ''"",""BatchNumber = p_BatchNumber)"",""(p_Notes IS NULL"",""p_Notes = ''"",""Notes IS NULL"",""Notes = ''"",""Notes = p_Notes) LIMIT 1""],""HasWhere"":true,""Warning"":"""",""RawSQL"":""DELETE FROM inv_inventory WHERE PartID = p_PartID AND Location = p_Location AND Operation = p_Operation AND Quantity = p_Quantity\n                AND (p_BatchNumber IS NULL OR p_BatchNumber = '' OR BatchNumber = p_BatchNumber)\n                AND (p_Notes IS NULL OR p_Notes = '' OR Notes IS NULL OR Notes = '' OR Notes = p_Notes) LIMIT 1""},{""Index"":3,""Type"":""DELETE"",""Table"":""inv_inventory"",""WhereConditions"":[""PartID = p_PartID"",""Location = p_Location"",""Operation = p_Operation"",""Quantity = p_Quantity LIMIT 1""],""HasWhere"":true,""Warning"":"""",""RawSQL"":""DELETE FROM inv_inventory WHERE PartID = p_PartID AND Location = p_Location AND Operation = p_Operation AND Quantity = p_Quantity LIMIT 1""}]}","{""Status"":""Called from UI"",""EventHandler"":""DependencyChartViewerForm.cs.listHtmlFiles_SelectedIndexChanged"",""MethodChain"":[""if""],""DAO"":{""Method"":""AddInventoryItemAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Remove_Item"",""Tables"":[""inv_inventory"",""inv_transaction""],""ReturnType"":""Task<DaoResult<int>>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"inv_inventory_Search_Advanced","Inventory","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_inventory_Search_Advanced"",""TotalOperations"":0,""Operations"":[]}","{""Status"":""Called from UI"",""EventHandler"":""Control_AdvancedRemove.cs.Control_AdvancedRemove_Button_Delete_Click"",""MethodChain"":[],""DAO"":{""Method"":""Control_AdvancedRemove_Button_Search_Click"",""File"":""Control_AdvancedRemove.cs""},""StoredProcedure"":""inv_inventory_Search_Advanced"",""Tables"":[""DATETIME"",""inv_inventory"",""IS""],""ReturnType"":""void"",""UIElementUpdated"":{""OnSuccess"":""Show"",""OnFailure"":""None detected""}}","","","False"
"inv_inventory_Transfer_Part","Inventory","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Transfer","0","","1","inv_inventory(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: inv_inventory(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_inventory_Transfer_Part"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""UPDATE"",""Table"":""inv_inventory"",""SetClauses"":[""Location = p_NewLocation"",""LastUpdated = CURRENT_TIMESTAMP""],""WhereConditions"":[""BatchNumber = p_BatchNumber"",""PartID = p_PartID"",""Operation = p_Operation""],""HasWhere"":true,""RawSQL"":""UPDATE inv_inventory\n            SET Location = p_NewLocation,\n                LastUpdated = CURRENT_TIMESTAMP\n            WHERE BatchNumber = p_BatchNumber\n              AND PartID = p_PartID\n              AND Operation = p_Operation""}]}","{""Status"":""Called from UI"",""EventHandler"":""Control_TransferTab.cs.Control_TransferTab_DataGridView_Main_SelectionChanged"",""MethodChain"":[],""DAO"":{""Method"":""TransferPartSimpleAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Transfer_Part"",""Tables"":""inv_inventory"",""ReturnType"":""Task<DaoResult>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"inv_inventory_Transfer_Quantity","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Transfer","1","inv_inventory(1)","1","inv_inventory(1)","0","","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT: inv_inventory(1)] + [1 UPDATE: inv_inventory(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_inventory_Transfer_Quantity"",""TotalOperations"":2,""Operations"":[{""Index"":1,""Type"":""INSERT"",""Table"":""inv_inventory"",""Columns"":[""BatchNumber"",""PartID"",""Operation"",""Quantity"",""Location"",""User""],""Values"":[""p_BatchNumber"",""p_PartID"",""p_Operation"",""p_TransferQuantity"",""p_NewLocation"",""p_User""],""ColumnValuePairs"":[""BatchNumber = p_BatchNumber"",""PartID = p_PartID"",""Operation = p_Operation"",""Quantity = p_TransferQuantity"",""Location = p_NewLocation"",""User = p_User""],""RawSQL"":""INSERT INTO inv_inventory (BatchNumber, PartID, Operation, Quantity, Location, User)\n            VALUES (p_BatchNumber, p_PartID, p_Operation, p_TransferQuantity, p_NewLocation, p_User)""},{""Index"":2,""Type"":""UPDATE"",""Table"":""inv_inventory"",""SetClauses"":[""Quantity = Quantity - p_TransferQuantity"",""User = p_User""],""WhereConditions"":[""BatchNumber = p_BatchNumber"",""PartID = p_PartID"",""Operation = p_Operation"",""Quantity = p_OriginalQuantity""],""HasWhere"":true,""RawSQL"":""UPDATE inv_inventory\n        SET Quantity = Quantity - p_TransferQuantity,\n            User = p_User\n        WHERE BatchNumber = p_BatchNumber\n          AND PartID = p_PartID\n          AND Operation = p_Operation\n          AND Quantity = p_OriginalQuantity""}]}","{""Status"":""Called from UI"",""EventHandler"":""Control_TransferTab.cs.Control_TransferTab_DataGridView_Main_SelectionChanged"",""MethodChain"":[],""DAO"":{""Method"":""TransferInventoryQuantityAsync"",""File"":""Dao_Inventory.cs""},""StoredProcedure"":""inv_inventory_Transfer_Quantity"",""Tables"":""inv_inventory"",""ReturnType"":""Task<DaoResult>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
"inv_transaction_Add","Transactions","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","inv_transaction(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: inv_transaction(1)] | [Has explicit transaction handling] | [Has validation]","{""ProcedureName"":""inv_transaction_Add"",""TotalOperations"":1,""Operations"":[{""Index"":1,""Type"":""INSERT"",""Table"":""inv_transaction"",""Columns"":[""TransactionType"",""PartID"",""BatchNumber"",""FromLocation"",""ToLocation"",""Operation"",""Quantity"",""Notes"",""User"",""ItemType"",""ReceiveDate""],""Values"":[""p_TransactionType"",""p_PartID"",""p_BatchNumber"",""p_FromLocation"",""p_ToLocation"",""p_Operation"",""p_Quantity"",""p_Notes"",""p_User"",""p_ItemType"",""p_ReceiveDate""],""ColumnValuePairs"":[""TransactionType = p_TransactionType"",""PartID = p_PartID"",""BatchNumber = p_BatchNumber"",""FromLocation = p_FromLocation"",""ToLocation = p_ToLocation"",""Operation = p_Operation"",""Quantity = p_Quantity"",""Notes = p_Notes"",""User = p_User"",""ItemType = p_ItemType"",""ReceiveDate = p_ReceiveDate""],""RawSQL"":""INSERT INTO inv_transaction (\n            TransactionType, PartID, `BatchNumber`, FromLocation, ToLocation,\n            Operation, Quantity, Notes, User, ItemType, ReceiveDate\n        ) VALUES (\n            p_TransactionType, p_PartID, p_BatchNumber, p_FromLocation, p_ToLocation,\n            p_Operation, p_Quantity, p_Notes, p_User, p_ItemType, p_ReceiveDate\n        )""}]}","{""Status"":""Called from UI"",""EventHandler"":""MainForm.cs.MainForm_MenuStrip_View_PersonalHistory_Click"",""MethodChain"":[""new""],""DAO"":{""Method"":""AddTransactionHistoryAsync"",""File"":""Dao_History.cs""},""StoredProcedure"":""inv_transaction_Add"",""Tables"":""inv_transaction"",""ReturnType"":""Task<DaoResult>"",""UIElementUpdated"":{""OnSuccess"":""None detected"",""OnFailure"":""None detected""}}","","","False"
