Procedure,Domain,CallFile,CallLine,Action,Parameters,ExpectedReturn,Notes,SimilarProcedure
inv_inventory_Get_All,inventory,Controls\MainForm\Control_RemoveTab.cs,1034,CREATE_NEW,none,DataTable with all inventory records,"Returns all inventory items for display in grid. No filters.",inv_inventory_Get_ByUser
inv_inventory_GetNextBatchNumber,inventory,Data\Dao_Inventory.cs,317,CREATE_NEW,none,Scalar INT (next batch number),"Returns next available batch number from inv_inventory_batch_seq table. Increment and return last_batch_number.",inv_inventory_Fix_BatchNumbers
inv_transaction_log,inventory,Models\Model_ParameterPrefixCache.cs,N/A,IGNORE,N/A,N/A,Only appears in code comment - not a real call,N/A
inv_transactions_Search,inventory,Data\Dao_Transactions.cs,80-81,CREATE_NEW,"UserName,IsAdmin,p_PartID,BatchNumber,FromLocation,ToLocation,p_Operation,TransactionType,Quantity,Notes,ItemType,FromDate,ToDate,SortColumn,SortDescending,Page,PageSize",DataTable with filtered/sorted/paged transaction records,"Advanced search with 17 parameters. Supports pagination and sorting. Similar to inv_transactions_SmartSearch but with more filters.",inv_transactions_SmartSearch
md_item_types_Exists_ByType,master-data,Data\Dao_ItemType.cs,182,CREATE_NEW,ItemType,Scalar BOOLEAN (1=exists 0=not exists),"Returns 1 if item type exists in md_item_types table, 0 otherwise. Used for validation before add.",md_item_types_Get_All
md_item_types_GetDistinct,master-data,Data\Dao_Part.cs,134,CREATE_NEW,none,DataTable with distinct ItemType values,"Returns SELECT DISTINCT ItemType FROM md_item_types ORDER BY ItemType. Used to populate dropdowns.",md_item_types_Get_All
md_locations_Exists_ByLocation,master-data,Data\Dao_Location.cs,188,CREATE_NEW,Location,Scalar BOOLEAN (1=exists 0=not exists),"Returns 1 if location exists in md_locations table, 0 otherwise. Used for validation before add.",md_locations_Get_All
md_operation_numbers_Exists_ByOperation,master-data,"Data\Dao_Operation.cs,Controls\SettingsForm\Control_Add_Operation.cs","99,186",CREATE_NEW,p_Operation,Scalar BOOLEAN (1=exists 0=not exists),"Returns 1 if operation exists in md_operation_numbers table, 0 otherwise. Used for validation before add.",md_operation_numbers_Get_All
md_part_ids_GetItemType_ByPartID,master-data,Data\Dao_Inventory.cs,302,RENAME_CALL,p_PartID,Scalar VARCHAR (ItemType),"Change call to md_part_ids_Get_ByItemNumber and extract ItemType column from result. Existing procedure returns full record.",md_part_ids_Get_ByItemNumber
sys_GetRoleIdByName,system,Data\Dao_System.cs,205,CREATE_NEW,RoleName,Scalar INT (RoleId),"Returns RoleId for given RoleName from sys_roles table. SELECT RoleId FROM sys_roles WHERE RoleName = p_RoleName.",sys_roles_Get_ById
sys_last_10_transactions_Add_AtPosition,system,Data\Dao_QuickButtons.cs,101,CREATE_NEW,"User,PartID,Operation,Quantity,Position",NonQuery (rows affected),"Inserts quick button at specific position. Shift existing buttons at/after that position. Similar to AddQuickButton_1 but with explicit position.",sys_last_10_transactions_AddQuickButton_1
sys_last_10_transactions_Delete_ByUserAndPosition_1,system,Data\Dao_QuickButtons.cs,245,CREATE_NEW,"User,Position",NonQuery (rows affected),"Deletes quick button at position and shifts remaining buttons. Similar to RemoveAndShift but different naming.",sys_last_10_transactions_RemoveAndShift_ByUser
sys_last_10_transactions_DeleteAll_ByUser,system,Data\Dao_QuickButtons.cs,171,CREATE_NEW,User,NonQuery (rows affected),"Deletes all quick buttons for user. DELETE FROM sys_last_10_transactions WHERE User = p_User.",sys_last_10_transactions_RemoveAndShift_ByUser
sys_last_10_transactions_Move,system,Data\Dao_QuickButtons.cs,139,RENAME_CALL,"User,FromPosition,ToPosition",NonQuery (rows affected),Change call to sys_last_10_transactions_Move_1. Same functionality.,sys_last_10_transactions_Move_1
usr_ui_settings_Delete_ByUserId,users,Data\Dao_User.cs,741,CREATE_NEW,UserId,NonQuery (rows affected),"Deletes all UI settings for user. DELETE FROM usr_ui_settings WHERE UserId = p_UserId.",usr_ui_settings_Get
usr_ui_settings_GetJsonSetting,users,Data\Dao_User.cs,662,CREATE_NEW,UserId,Scalar VARCHAR(JSON string),"Returns JSON settings for user. SELECT SettingJson FROM usr_ui_settings WHERE UserId = p_UserId. Or use usr_ui_settings_Get and extract column.",usr_ui_settings_Get
usr_user_roles_GetRoleId_ByUserId,users,Data\Dao_User.cs,1192,RENAME_CALL,UserID,Scalar INT (RoleId),"Change call to sys_user_roles_Get_ById or query sys_user_roles table. May need to join usr_users to sys_user_roles.",sys_user_roles_Add
usr_users_SetUserSetting_ByUserAndField,users,Data\Dao_User.cs,699,CREATE_NEW,"User,Field,Value",NonQuery (rows affected),"Updates single user field. UPDATE usr_users SET {Field} = p_Value WHERE User = p_User. Dynamic column name.",usr_users_Update_User
